Vertical,L1 ID,L1 Nombre,L2 ID,L2 Nombre,L3 ID,L3 Nombre,Ejemplo
Automotive,MLA1000,"Electrónica, Audio y Video",MLA409810,Audio,MLA71600,"Drivers, Cornetas y Diafragmas",https://www.mercadolibre.com.ar/mas-vendidos/MLA1000
Automotive,MLA1051,Celulares y Teléfonos,MLA3502,Accesorios para Celulares,MLA432435,Colgantes y Soportes,https://www.mercadolibre.com.ar/mas-vendidos/MLA1051
Automotive,MLA1132,Juegos y Juguetes,MLA6151,Vehículos Montables para Niños,MLA455417,Accesorios y Repuestos,https://www.mercadolibre.com.ar/mas-vendidos/MLA1132
Automotive,MLA1276,Deportes y Fitness,MLA1281,Surf y Bodyboard,MLA416859,Porta Equipajes de Tablas,https://www.mercadolibre.com.ar/mas-vendidos/MLA1276
Automotive,MLA1276,Deportes y Fitness,MLA1292,Ciclismo,MLA1934,Accesorios para Bicicletas,https://www.mercadolibre.com.ar/mas-vendidos/MLA1276
Automotive,MLA1276,Deportes y Fitness,MLA1292,Ciclismo,MLA12214,Repuestos,https://www.mercadolibre.com.ar/mas-vendidos/MLA1276
Automotive,MLA1276,Deportes y Fitness,MLA1349,Equitación y Polo,MLA1351,Artículos para Equitación,https://www.mercadolibre.com.ar/mas-vendidos/MLA1276
Automotive,MLA1276,Deportes y Fitness,MLA47786,Montañismo y Trekking,MLA66233,Indumentaria y Calzado,https://www.mercadolibre.com.ar/mas-vendidos/MLA1276
Automotive,MLA1276,Deportes y Fitness,MLA410723,Monopatines y Scooters,MLA456635,Accesorios y Repuestos,https://www.mercadolibre.com.ar/mas-vendidos/MLA1276
Automotive,MLA1276,Deportes y Fitness,MLA438233,"Canoas, Kayaks e Inflables",MLA8916,Salvavidas,https://www.mercadolibre.com.ar/mas-vendidos/MLA1276
Automotive,MLA1384,Bebés,MLA418189,Paseo del Bebé,MLA271305,Parasoles para Autos,https://www.mercadolibre.com.ar/mas-vendidos/MLA1384
Automotive,MLA1384,Bebés,MLA418189,Paseo del Bebé,MLA431045,Almohadas para Cinturones,https://www.mercadolibre.com.ar/mas-vendidos/MLA1384
Automotive,MLA1384,Bebés,MLA418189,Paseo del Bebé,MLA431270,Organizadores para Autos,https://www.mercadolibre.com.ar/mas-vendidos/MLA1384
Automotive,MLA1430,Ropa y Accesorios,MLA3114,Accesorios de Moda,MLA437217,Bufandas y Pañuelos,https://www.mercadolibre.com.ar/mas-vendidos/MLA1430
Automotive,MLA1512,Agro,MLA404085,Otros,MLA404085,Otros,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA407816,Insumos Ganaderos,MLA404094,Comederos,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA407816,Insumos Ganaderos,MLA407821,Otros,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA407816,Insumos Ganaderos,MLA442345,Alimentación y Suplementos,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA417282,Maquinaria Agrícola,MLA404089,Sembradoras,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA417282,Maquinaria Agrícola,MLA404093,Moledoras de Granos,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA417282,Maquinaria Agrícola,MLA417283,Otras,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA417282,Maquinaria Agrícola,MLA430443,Rastras de Levante,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA417282,Maquinaria Agrícola,MLA430958,Plantas de Alimentos,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA417282,Maquinaria Agrícola,MLA433021,Molinos Pulverizadores,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA417282,Maquinaria Agrícola,MLA454716,Tractores Cortacésped,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA417282,Maquinaria Agrícola,MLA455712,Plantadoras Manuales,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA417282,Maquinaria Agrícola,MLA457073,Desmotadoras,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA417282,Maquinaria Agrícola,MLA457074,Extractoras,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA417282,Maquinaria Agrícola,MLA457075,Fertilizadoras,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA417282,Maquinaria Agrícola,MLA457077,Equipos de Labranza,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA417282,Maquinaria Agrícola,MLA457078,Tolvas Industriales,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA417282,Maquinaria Agrícola,MLA457122,Pulverizadoras,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA442343,Insumos Agrícolas,MLA442406,Otros,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA442346,Animales,MLA442432,Otros,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA442346,Animales,MLA457064,Bovinos,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA442351,Repuestos Maquinaria Agrícola,MLA442365,Motor,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA442351,Repuestos Maquinaria Agrícola,MLA442384,Baterías,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA442351,Repuestos Maquinaria Agrícola,MLA442387,Otros,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA442351,Repuestos Maquinaria Agrícola,MLA456866,Transmisión,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA442351,Repuestos Maquinaria Agrícola,MLA456869,Escapes Completos,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA442351,Repuestos Maquinaria Agrícola,MLA456873,Eje Delantero y Dirección,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA442351,Repuestos Maquinaria Agrícola,MLA456875,Filtros,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA442351,Repuestos Maquinaria Agrícola,MLA456876,Carrocería,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA442351,Repuestos Maquinaria Agrícola,MLA456879,Implementos y Tomas de Fuerza,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA442351,Repuestos Maquinaria Agrícola,MLA456880,Sistema de Pulverización,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA442351,Repuestos Maquinaria Agrícola,MLA456881,Tanques de Combustible,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA442351,Repuestos Maquinaria Agrícola,MLA456882,Sistema Hidráulico,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA442351,Repuestos Maquinaria Agrícola,MLA457262,Turbinas de Succión,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA442351,Repuestos Maquinaria Agrícola,MLA457263,Discos Marcadores,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA442351,Repuestos Maquinaria Agrícola,MLA457290,Variador,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA442351,Repuestos Maquinaria Agrícola,MLA457587,Cinturones de Seguridad,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA442351,Repuestos Maquinaria Agrícola,MLA457599,Frenos,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA442351,Repuestos Maquinaria Agrícola,MLA457646,Bastidores,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA442351,Repuestos Maquinaria Agrícola,MLA457656,Encendido,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA442351,Repuestos Maquinaria Agrícola,MLA457667,Cerraduras y Llaves,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA442351,Repuestos Maquinaria Agrícola,MLA457675,Repuestos de Exterior,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA442351,Repuestos Maquinaria Agrícola,MLA457694,Suspensión y Dirección,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA442351,Repuestos Maquinaria Agrícola,MLA457710,Climatización,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA442351,Repuestos Maquinaria Agrícola,MLA457727,Sistema Eléctrico,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA442351,Repuestos Maquinaria Agrícola,MLA457754,Inyección,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA442351,Repuestos Maquinaria Agrícola,MLA999179,Cabina,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
Automotive,MLA1512,Agro,MLA446791,Agricultura de Precisión,MLA442357,Banderilleros Satelitales,https://www.mercadolibre.com.ar/mas-vendidos/MLA1512
